Date,S,I,R,D,p_SI,p_IR,p_ID
2022-01-22,260902067,16692,4122555,144206,1.2284302829996361e-05,0.03756290438533429,0.00029954469206805657
2022-01-23,260899142,18891,4123267,144220,1.1211228897027189e-05,0.03768990524588428,0.0007410936424752528
2022-01-24,260896215,20867,4124211,144227,1.1219020559573851e-05,0.04523889394738103,0.0003354579000335458
2022-01-25,260891337,24856,4125080,144247,1.8697439539742172e-05,0.03496137753459929,0.0008046346958480849
2022-01-26,260884327,29277,4127662,144254,2.6870146170183693e-05,0.08819209618471838,0.0002390955357447826
2022-01-27,260876250,35704,4129305,144261,3.096103995668444e-05,0.04601725296885503,0.00019605646426170737
2022-01-28,260866345,43574,4131333,144268,3.796963537017395e-05,0.046541515582686925,0.00016064625694221324
2022-01-29,260854757,52555,4133923,144285,4.442318834154901e-05,0.049281704880601275,0.0003234706497954524
2022-01-30,260842335,61718,4137164,144303,4.762263763663977e-05,0.052513043196474284,0.0002916491137107489
2022-01-31,260832150,68596,4140454,144320,3.9048100473810454e-05,0.047961980290395945,0.00024782786168289696
2022-02-01,260816129,81349,4143694,144348,6.142641584869163e-05,0.03982839371104746,0.0003441959950337435
2022-02-02,260798234,94109,4148804,144373,6.86162621791373e-05,0.05429873869661775,0.0002656494065392258
2022-02-03,260771037,115275,4154797,144411,0.00010429455783465708,0.05198872261982217,0.000329646497505964
2022-02-04,260738826,140254,4161987,144453,0.00012353741287459812,0.05126413506923154,0.00029945669998716613
2022-02-05,260705097,163468,4172458,144497,0.00012937606662903104,0.06405535028262412,0.0002691658306212837
2022-02-06,260669040,188899,4183027,144554,0.00013832482752842455,0.05595053441256968,0.0003017485534597854
2022-02-07,260642919,206361,4191604,144636,0.00010021757007716753,0.04156308604823586,0.0003973619046234511
2022-02-08,260605427,233062,4202312,144719,0.00014386500093875636,0.04594485587526066,0.0003561284121821661
2022-02-09,260558584,265824,4216328,144784,0.00017977914709576406,0.0527266161068978,0.0002445226917057903
2022-02-10,260517966,288186,4234510,144858,0.00015591247169494636,0.06309119804570659,0.0002567786082599432
2022-02-11,260477477,312808,4250277,144958,0.00015544146260292594,0.05040472110687706,0.0003196849185442828
2022-02-12,260422268,335340,4282847,145065,0.0002119980001095759,0.09712530565992723,0.0003190791435557941
2022-02-13,260377742,352839,4309763,145176,0.00017100540030030677,0.07628408424238817,0.00031459107411595656
2022-02-14,260341241,375857,4323101,145321,0.00014020444805362206,0.035486900603154924,0.0003857850193025539
2022-02-15,260284192,406025,4349848,145455,0.000219179657287831,0.06587525398682346,0.00033002893910473495
2022-02-16,260219474,445190,4375234,145622,0.00024870544469704064,0.05702284417888991,0.0003751207349670927
2022-02-17,260155518,469868,4414306,145828,0.0002458375685884933,0.08315526913941788,0.0004384210033456205
2022-02-18,260095883,496383,4447210,146044,0.0002292808302544335,0.06628752394824158,0.0004351478596164655
2022-02-19,260036499,520910,4481909,146202,0.0002283679415327,0.0666122746731681,0.0003033153519801885
2022-02-20,259988015,536358,4514782,146365,0.00018648551934211276,0.06128928812472267,0.00030390149862591777
2022-02-21,259953597,530671,4554711,146541,0.00013240055301100528,0.0752424760350575,0.0003316555832144587
2022-02-22,259896106,549431,4593185,146798,0.00022120762363403781,0.0700251714956018,0.00046775664278135017
2022-02-23,259834618,571522,4632355,147025,0.0002366428325574385,0.06853629431587935,0.0003971850602426503
2022-02-24,259777192,586113,4674873,147342,0.00022105866784486608,0.07254232545601275,0.0005408513375407131
2022-02-25,259727745,573955,4736234,147586,0.000190380122847484,0.10690907823784095,0.00042512043627113626
2022-02-26,259681102,578535,4778039,147844,0.00017961645895972822,0.07226010526588711,0.00044595400451139514
2022-02-27,259646126,573898,4817423,148073,0.0001347064196135936,0.06862543518186158,0.0003990256108228291
2022-02-28,259621072,554698,4861415,148335,9.650218222656441e-05,0.07930801985945506,0.00047232908717896946
2022-03-01,259596344,539214,4901302,148660,9.525557879197252e-05,0.0739724858775922,0.0006027291576257293
2022-03-02,259555424,536823,4944237,149036,0.00015765418949595906,0.07997980712450845,0.0007004170834707156
2022-03-03,259518165,531696,4986391,149268,0.0001435699115705446,0.07928214618879961,0.0004363395624567422
2022-03-04,259491818,517253,5026853,149596,0.00010153306644913174,0.07822477588336849,0.0006341190867911834
2022-03-05,259461662,500418,5073522,149918,0.00011622526336858198,0.09326003461106515,0.0006434620657130639
2022-03-06,259436795,475951,5122602,150172,9.584993524145254e-05,0.10311985897707958,0.0005336683818292219
2022-03-07,259415415,448273,5171402,150430,8.241607384819441e-05,0.1088622335050293,0.0005755421361536386
2022-03-08,259385267,422892,5226530,150831,0.00011622865226188811,0.1303595244175818,0.000948232645687315
2022-03-09,259358931,417219,5258235,151135,0.0001015426763923545,0.0759912659778198,0.0007286341226070721
2022-03-10,259337620,399853,5296634,151413,8.217473423254212e-05,0.09603279205107877,0.0006952555063986015
2022-03-11,259321510,376461,5335846,151703,6.212365491778912e-05,0.10415952781297398,0.0007703321193961659
2022-03-12,259306610,357380,5369579,151951,5.746093398853196e-05,0.09438972522245229,0.0006939392243550282
2022-03-13,259295025,342896,5395433,152166,4.4678836394952044e-05,0.07539895478512436,0.0006270122719425131
2022-03-14,259285396,312958,5434729,152437,3.7136684705528114e-05,0.12556317461128969,0.0008659308916851463
2022-03-15,259270988,299443,5462344,152745,5.557120027636875e-05,0.09222122407269497,0.0010285763901644054
2022-03-16,259257970,279969,5494606,152975,5.021253541405111e-05,0.11523418664209252,0.0008215195253760238
2022-03-17,259246438,262477,5523393,153212,4.4482771254122306e-05,0.10967437146873821,0.0009029362572720658
2022-03-18,259236910,245979,5549220,153411,3.675402549737227e-05,0.10499676801678193,0.0008090121514438224
2022-03-19,259228959,229734,5573228,153599,3.067172753642852e-05,0.10450346922963079,0.0008183377297222005
